project_id,snapshot_month,dataset_split,sector_name,ministry_name,agency_name,state_name,time_elapsed_pct,cost_escalation_pct,expenditure_pct,physical_progress_pct,physical_financial_gap,progress_deviation,progress_velocity,schedule_slippage_months,overall_risk_score,active_warnings_count,target_cost_overrun_binary
400005,2025-09,train,Coal,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],Gujarat,258.82,0.0,92.61,93.0,0.39,-7.0,0.0,30.0,50.82,4,0.0
400005,2025-10,train,Coal,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],Gujarat,264.71,0.0,92.61,93.0,0.39,-7.0,0.0,30.0,50.82,4,0.0
400005,2025-11,train,Coal,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],Gujarat,270.59,0.0,95.0,94.0,-1.0,-6.0,1.0,30.0,38.0,2,0.0
400005,2025-12,train,Coal,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],Gujarat,276.47,0.0,95.87,95.0,-0.87,-5.0,1.0,33.0,38.29,2,0.0
400005,2026-01,train,Coal,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],Gujarat,282.35,0.0,98.59,96.0,-2.59,-4.0,1.0,35.0,36.12,2,0.0
400005,2026-02,val,Coal,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],Gujarat,288.24,0.0,99.0,98.0,-1.0,-2.0,2.0,35.0,35.8,2,0.0
400005,2026-03,val,Coal,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],Gujarat,294.12,0.0,99.5,99.65,0.15,-0.35,1.65,35.0,35.4,2,0.0
400005,2026-04,val,Coal,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],Gujarat,300.0,0.0,99.6,99.9,0.3,-0.1,0.25,35.0,35.32,2,0.0
400006,2025-12,train,Railways,Ministry of Railways,South Eastern Railway [SER] - I,Odisha,104.17,0.0,62.42,31.0,-31.42,-69.0,,2.0,50.54,2,0.0
400006,2026-01,train,Railways,Ministry of Railways,South Eastern Railway [SER] - I,Odisha,106.25,0.0,67.11,32.0,-35.11,-68.0,1.0,14.0,54.66,4,0.0
400006,2026-02,val,Railways,Ministry of Railways,South Eastern Railway [SER] - I,Odisha,108.33,0.0,69.93,34.0,-35.93,-66.0,2.0,14.0,54.26,4,0.0
400006,2026-03,val,Railways,Ministry of Railways,South Eastern Railway [SER] - I,Odisha,110.42,0.0,73.73,36.0,-37.73,-64.0,2.0,14.0,53.72,4,0.0
400006,2026-04,val,Railways,Ministry of Railways,South Eastern Railway [SER] - I,Odisha,112.5,0.0,86.67,38.0,-48.67,-62.0,2.0,14.0,51.89,4,0.0
400006,2026-05,test,Railways,Ministry of Railways,South Eastern Railway [SER] - I,Odisha,114.58,0.0,91.9,40.0,-51.9,-60.0,2.0,14.0,51.15,4,0.0
400006,2026-06,test,Railways,Ministry of Railways,South Eastern Railway [SER] - I,Odisha,116.67,0.0,91.9,40.0,-51.9,-60.0,0.0,14.0,61.65,6,0.0
400006,2026-07,test,Railways,Ministry of Railways,South Eastern Railway [SER] - I,Odisha,118.75,0.0,91.9,44.0,-47.9,-56.0,4.0,14.0,51.15,4,0.0
400010,2025-07,train,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,96.47,33.33,66.72,67.0,0.28,-29.47,,0.0,33.6,2,1.0
400010,2025-08,train,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,223.68,33.33,67.94,71.0,3.06,-29.0,4.0,49.0,56.09,4,1.0
400010,2025-09,train,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,226.32,33.33,71.28,71.0,-0.28,-29.0,0.0,49.0,66.21,6,1.0
400010,2025-10,train,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,228.95,33.33,73.69,77.0,3.31,-23.0,6.0,49.0,55.45,4,1.0
400010,2025-11,train,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,231.58,33.33,75.49,78.0,2.51,-22.0,1.0,58.0,55.24,4,1.0
400010,2025-12,train,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,234.21,33.33,75.72,78.0,2.28,-22.0,0.0,58.0,65.72,6,1.0
400010,2026-01,train,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,236.84,33.33,76.91,78.0,1.09,-22.0,0.0,58.0,65.58,6,1.0
400010,2026-02,val,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,239.47,33.33,76.91,78.0,1.09,-22.0,0.0,58.0,65.58,6,1.0
400010,2026-03,val,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,242.11,33.33,78.41,78.7,0.29,-21.3,0.7,58.0,54.92,4,1.0
400010,2026-04,val,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,244.74,33.33,78.41,78.9,0.49,-21.1,0.2,58.0,54.92,4,1.0
400010,2026-05,test,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,247.37,33.33,79.08,79.2,0.12,-20.8,0.3,58.0,54.84,4,1.0
400010,2026-06,test,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,250.0,33.33,79.6,83.4,3.8,-16.6,4.2,58.0,54.78,4,1.0
400010,2026-07,test,Civil Aviation,Ministry of Civil Aviation,Airport Authority of India [AAI],Ladakh,252.63,33.33,80.09,88.0,7.91,-12.0,4.6,58.0,54.73,4,1.0
400012,2025-07,train,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,94.05,0.0,75.32,92.0,16.68,-2.05,,0.0,18.36,0,0.0
400012,2025-08,train,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,95.24,0.0,76.05,92.0,15.95,-3.24,0.0,0.0,29.36,2,0.0
400012,2025-09,train,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,96.43,0.0,79.1,93.0,13.9,-3.43,1.0,0.0,18.94,0,0.0
400012,2025-10,train,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,227.78,0.0,79.89,93.0,13.11,-7.0,0.0,48.0,63.0,4,0.0
400012,2025-11,train,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,230.56,0.0,80.65,93.0,12.35,-7.0,0.0,48.0,63.0,4,0.0
400012,2025-12,train,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,233.33,0.0,81.46,94.0,12.54,-6.0,1.0,51.0,52.5,2,0.0
400012,2026-01,train,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,236.11,0.0,79.86,94.0,14.14,-6.0,0.0,51.0,63.0,4,0.0
400012,2026-02,val,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,238.89,0.0,80.59,94.0,13.41,-6.0,0.0,51.0,63.0,4,0.0
400012,2026-03,val,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,241.67,0.0,81.42,94.9,13.48,-5.1,0.9,54.0,52.5,2,0.0
400012,2026-04,val,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,244.44,0.0,84.55,95.2,10.65,-4.8,0.3,54.0,52.5,2,0.0
400012,2026-05,test,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,247.22,0.0,85.11,95.4,10.29,-4.6,0.2,54.0,52.5,2,0.0
400012,2026-06,test,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,250.0,0.0,85.97,95.7,9.73,-4.3,0.3,54.0,52.5,2,0.0
400012,2026-07,test,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,252.78,0.0,84.3,96.0,11.7,-4.0,0.3,58.0,52.5,2,0.0
400013,2025-07,train,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,81.82,16.36,30.35,72.0,41.65,-9.82,,0.0,30.21,2,0.0
400013,2025-08,train,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,160.87,16.36,31.98,73.0,41.02,-27.0,1.0,21.0,59.48,4,0.0
400013,2025-09,train,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,165.22,16.36,31.98,75.0,43.02,-25.0,2.0,21.0,58.64,4,0.0
400013,2025-10,train,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,169.57,16.36,31.98,76.0,44.02,-24.0,1.0,21.0,58.22,4,0.0
400013,2025-11,train,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,173.91,16.36,31.98,78.0,46.02,-22.0,2.0,21.0,57.38,4,0.0
400013,2025-12,train,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,178.26,16.36,31.98,80.0,48.02,-20.0,2.0,21.0,56.54,4,0.0
400013,2026-01,train,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,182.61,16.36,31.98,82.0,50.02,-18.0,2.0,21.0,55.7,4,0.0
400013,2026-02,val,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,186.96,16.36,31.98,83.0,51.02,-17.0,1.0,21.0,55.28,4,0.0
400013,2026-03,val,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,191.3,16.36,31.98,83.7,51.72,-16.3,0.7,21.0,54.98,4,0.0
400013,2026-04,val,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,195.65,16.36,31.98,84.0,52.02,-16.0,0.3,21.0,54.86,4,0.0
400013,2026-05,test,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,200.0,-41.51,63.61,85.0,21.39,-15.0,1.0,33.0,52.5,2,0.0
400013,2026-06,test,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,204.35,-41.51,55.57,85.0,29.43,-15.0,0.0,33.0,63.0,4,0.0
400013,2026-07,test,Telecommunications,Department of Telecommunications,Department of Telecommunications [DoT],Unknown,208.7,-41.51,56.67,87.7,31.03,-12.3,2.7,33.0,52.5,2,0.0
400019,2025-07,train,Railways,Ministry of Railways,Central Railway,Maharashtra,50.94,137.53,20.02,9.0,-11.02,-41.94,,0.0,57.57,2,1.0
400019,2025-08,train,Railways,Ministry of Railways,Central Railway,Maharashtra,83.16,137.61,20.93,16.0,-4.93,-67.16,7.0,9.0,70.0,4,1.0
400019,2025-09,train,Railways,Ministry of Railways,Central Railway,Maharashtra,84.21,137.61,21.89,16.0,-5.89,-68.21,0.0,9.0,80.5,6,1.0
400019,2025-10,train,Railways,Ministry of Railways,Central Railway,Maharashtra,85.26,137.61,23.65,16.0,-7.65,-69.26,0.0,9.0,80.5,6,1.0
400019,2025-11,train,Railways,Ministry of Railways,Central Railway,Maharashtra,86.32,137.61,24.6,17.0,-7.6,-69.32,1.0,9.0,70.0,4,1.0
400019,2025-12,train,Railways,Ministry of Railways,Central Railway,Maharashtra,87.37,137.61,35.49,25.0,-10.49,-62.37,8.0,9.0,74.72,4,1.0
400019,2026-01,train,Railways,Ministry of Railways,Central Railway,Maharashtra,88.42,137.61,37.64,25.0,-12.64,-63.42,0.0,9.0,86.19,6,1.0
400019,2026-02,val,Railways,Ministry of Railways,Central Railway,Maharashtra,89.47,137.61,40.67,25.0,-15.67,-64.47,0.0,9.0,87.55,6,1.0
400019,2026-03,val,Railways,Ministry of Railways,Central Railway,Maharashtra,90.53,137.61,41.08,25.0,-16.08,-65.53,0.0,9.0,87.74,6,1.0
